No.,Date and time,Pressure [BAR] (1),TOUGH SONIC [mm] (2)
494,2017-09-19 16:15:56.0,-33.97,1993
495,2017-09-19 16:15:57.0,-33.97,1998
496,2017-09-19 16:15:58.0,-34,1996
497,2017-09-19 16:15:59.0,-34,1995
498,2017-09-19 16:16:00.0,-34.02,1995
499,2017-09-19 16:16:01.0,-34,1993
500,2017-09-19 16:16:02.0,-34.02,1990
501,2017-09-19 16:16:03.0,-34.02,1993
502,2017-09-19 16:16:04.0,-34,1995
503,2017-09-19 16:16:05.0,-34,2001
504,2017-09-19 16:16:06.0,-33.98,1995
505,2017-09-19 16:16:07.0,-33.98,1995
506,2017-09-19 16:16:08.0,-33.98,1995
507,2017-09-19 16:16:09.0,-34.01,1997
508,2017-09-19 16:16:10.0,-33.98,1999
509,2017-09-19 16:16:11.0,-34,1995
510,2017-09-19 16:16:12.0,-34,1994
511,2017-09-19 16:16:13.0,-34,1995
512,2017-09-19 16:16:14.0,-34.02,1994
513,2017-09-19 16:16:15.0,-34.02,1993
514,2017-09-19 16:16:16.0,-34.02,1995
515,2017-09-19 16:16:17.0,-34.02,1994
516,2017-09-19 16:16:18.0,-34.02,1996
517,2017-09-19 16:16:19.1,-34.02,1996
518,2017-09-19 16:16:20.1,-34.02,1993
519,2017-09-19 16:16:21.1,-34.02,1999
520,2017-09-19 16:16:22.1,-34.02,1990
521,2017-09-19 16:16:23.1,-34.02,1992
522,2017-09-19 16:16:24.1,-34.03,2002
523,2017-09-19 16:16:25.1,-34.03,1993
524,2017-09-19 16:16:26.1,-34.03,1999
525,2017-09-19 16:16:27.1,-34.05,2002
526,2017-09-19 16:16:28.1,-34.03,1992
527,2017-09-19 16:16:29.1,-34.05,2003
528,2017-09-19 16:16:30.1,-34.04,2001
529,2017-09-19 16:16:31.1,-34.05,1996
530,2017-09-19 16:16:32.1,-34.07,4649
531,2017-09-19 16:16:33.1,-34.07,2000
532,2017-09-19 16:16:34.1,-34.07,1996
533,2017-09-19 16:16:35.1,-34.05,1996
534,2017-09-19 16:16:36.1,-34.07,1999
535,2017-09-19 16:16:37.1,-34.07,1995
536,2017-09-19 16:16:38.1,-34.07,1996
537,2017-09-19 16:16:39.1,-34.07,1995
538,2017-09-19 16:16:40.1,-34.05,1995
539,2017-09-19 16:16:41.1,-34.07,1996
540,2017-09-19 16:16:42.1,-34.05,1996
541,2017-09-19 16:16:43.1,-34.07,1995
542,2017-09-19 16:16:44.1,-34.07,1992
543,2017-09-19 16:16:45.1,-34.07,1997
544,2017-09-19 16:16:46.1,-34.07,1996
545,2017-09-19 16:16:47.1,-34.07,1998
546,2017-09-19 16:16:48.1,-34.07,1998
547,2017-09-19 16:16:49.1,-34.07,1992
548,2017-09-19 16:16:50.1,-34.07,1995
549,2017-09-19 16:16:51.1,-34.09,1998
550,2017-09-19 16:16:52.1,-34.1,1993
551,2017-09-19 16:18:43.8,-34.28,1990
552,2017-09-19 16:18:44.8,-34.28,1992
553,2017-09-19 16:18:45.8,-34.27,1990
554,2017-09-19 16:18:46.8,-34.29,1993
555,2017-09-19 16:18:47.8,-34.28,1992
556,2017-09-19 16:18:48.8,-34.28,1993
557,2017-09-19 16:18:49.8,-34.28,1992
558,2017-09-19 16:18:50.8,-34.3,1995
559,2017-09-19 16:18:51.8,-34.28,1996
560,2017-09-19 16:18:52.8,-34.3,1995
561,2017-09-19 16:18:53.8,-34.3,1995
562,2017-09-19 16:18:54.8,-34.3,1990
563,2017-09-19 16:18:55.8,-34.3,1995
564,2017-09-19 16:18:56.8,-34.3,1992
565,2017-09-19 16:18:57.8,-34.3,1993
566,2017-09-19 16:18:58.8,-34.3,1993
567,2017-09-19 16:18:59.8,-34.3,1990
568,2017-09-19 16:19:00.8,-34.32,1992
569,2017-09-19 16:19:01.8,-34.3,1992
570,2017-09-19 16:19:02.8,-34.32,1993
571,2017-09-19 16:19:03.8,-34.3,1995
572,2017-09-19 16:19:04.8,-34.3,1993
573,2017-09-19 16:19:05.8,-34.32,1996
574,2017-09-19 16:19:06.8,-34.32,1992
